VertexTo VertexFrom TimeStart TimeStop
1567746 1586199 1 1
1567746 1163134 1 1
1567746 1347469 1 1
1567746 305799 1 1
596098021024423 596098021024345 1 1
596098021024423 1534414 1 1
596098021024423 1052952 1 1
1249957 1279674 1 1
1249957 1186662 1 1
1429176 1162972 1 1
110009 1518819 1 1
110009 12097 1 1
1045885 1427574 1 1
1217645 1430203 1 1
1378117 166671 1 1
1378117 1217385 1 1
1378117 139548 1 1
1078492 1087673 1 1
1078492 1153924 1 1
1078492 1210142 1 1
1078492 1293377 1 1
1000186 237355 1 1
389068 127338 1 1
1432817 41238 1 1
1537158 1291206 1 1
294928 1321316 1 1
1297780 1022173 1 1
1197221 1349392 1 1
1197221 139080 1 1
1193946 333532 1 1
1210777 1162986 1 1
1210777 1294412 1 1
1210777 12143 1 1
1226706 1278112 1 1
1226706 20724 1 1
1258050 1326651 1 1
1258050 1472542 1 1
127477 1538878 1 1
127477 1550080 1 1
127477 407472 1 1
1391944 150242 1 1
1391944 200935 1 1
1391944 1419487 1 1
1577219 372821 1 1
1577219 1212309 1 1
1103221 1310458 1 1
1093097 1107111 1 1
1415474 232617 1 1
107869 152555 1 1
107869 1192894 1 1
262037 17972 1 1
262037 1076372 1 1
1497851 1404698 1 1
1497851 1192346 1 1
1497851 1060751 1 1
1497851 1058079 1 1
1497851 1226878 1 1
1429081 1001377 1 1
1302286 1024262 1 1
1302286 1384940 1 1
5786821412026058 1137577 1 1
5786821412026058 1429166 1 1
154093 1193376 1 1
154093 1449061 1 1
154093 1212629 1 1
154093 1215521 1 1
154093 1004927 1 1
154093 150238 1 1
1073683 1059589 1 1
1073683 151690 1 1
208206 1013620 1 1
208206 1120212 1 1
208206 1466638 1 1
208206 1154205 1 1
1183434 1179522 1 1
1412004 1373458 1 1
1412004 1432891 1 1
104288 1293774 1 1
104288 431431 1 1
1083923 1168299 1 1
1289443 1377951 1 1
1331322 1478399 1 1
1331322 1322835 1 1
152555 107869 1 1
152555 1192894 1 1
596098021021756 2955038711021933 1 1
1328059 162338 1 1
1275509 1144029 1 1
1275509 1046319 1 1
1275509 1189926 1 1
1261921 1488511 1 1
1261921 15562 1 1
1550359 1072647 1 1
1550359 147620 1 1
1473361 1206090 1 1
1202986 45207 1 1
1202986 1566920 1 1
1202986 359778 1 1
1224132 2955038712026003 1 1
1224132 596098021022488 1 1
1072647 1550359 1 1
1072647 147620 1 1
141231 349021 1 1
141231 102105 1 1
141231 1326738 1 1
141231 1407007 1 1
1220385 1258700 1 1
1220385 2955038711025422 1 1
1280235 1400642 1 1
1203830 1046321 1 1
1203830 1503452 1 1
1331972 1254125 1 1
135102 1411328 1 1
135102 1040847 1 1
135102 1442413 1 1
135102 1243857 1 1
1368121 160461 1 1
1368121 200935 1 1
1368121 139711 1 1
1368121 1095264 1 1
1008198 157711 1 1
596098021027821 2955038711030269 1 1
596098021027821 246953 1 1
1381971 1405125 1 1
1504768 217162 1 1
1504768 156431 1 1
1504768 1223625 1 1
2449133522027004 2449133521026849 1 1
1317588 295196 1 1
1317588 218424 1 1
1317588 1411881 1 1
1317588 1250836 1 1
1317588 1142136 1 1
1317588 142074 1 1
1317588 1113147 1 1
1317588 1573693 1 1
5786821412025651 1029022 1 1
5786821412025651 1062783 1 1
596098021025572 2955038711024742 1 1
1436648 141658 1 1
237705 544487 1 1
237705 1347607 1 1
237705 1177078 1 1
1055794 1580891 1 1
1055794 1209569 1 1
1055794 1396176 1 1
1291888 378926 1 1
1291888 1101326 1 1
1587487 1562586 1 1
283401 1461334 1 1
1201398 5786821411024155 1 1
2955038711026237 596098021030067 1 1
109050 1506261 1 1
109050 1304377 1 1
1393668 166671 1 1
236495 1111165 1 1
1117903 1221152 1 1
1363799 1275507 1 1
1363799 1373743 1 1
1363799 121595 1 1
1363799 1395741 1 1
1363799 1256851 1 1
1363799 1225776 1 1
1363799 1428491 1 1
1363799 1400377 1 1
1363799 1262773 1 1
1354952 206941 1 1
1354952 1359874 1 1
1463434 1547884 1 1
1463434 1169841 1 1
1463434 1163812 1 1
596098021028445 2955038711026774 1 1
596098021028445 596098021026887 1 1
596098021028445 596098021028117 1 1
596098021028445 2955038711026447 1 1
596098021028445 596098021021823 1 1
5786821411026140 1342273 1 1
5786821411026140 164905 1 1
5786821411026140 5786821412026800 1 1
5786821411026140 1283152 1 1
1488080 1148249 1 1
1488080 1456556 1 1
1488080 1121700 1 1
1488080 1417680 1 1
1488080 1090955 1 1
1117435 1512420 1 1
1117435 1475636 1 1
1216109 1451580 1 1
1216109 1399534 1 1
1046615 596098022027189 1 1
344409 180193 1 1
344409 1356450 1 1
1488243 347988 1 1
1293800 20376 1 1
1419401 1010222 1 1
1246034 1017958 1 1
1246034 533877 1 1
596098021024318 596098022025853 1 1
596098021024318 2955038712026469 1 1
1163450 1262024 1 1
1163450 1384075 1 1
45207 1202986 1 1
45207 359778 1 1
45207 1356450 1 1
1342273 5786821411026140 1 1
1342273 1283152 1 1
41238 1432817 1 1
1162986 1210777 1 1
1162986 12143 1 1
1194126 1159211 1 1
122815 1182609 1 1
1547884 1463434 1 1
1547884 1169841 1 1
1547884 1163812 1 1
1006024 1085999 1 1
1006024 1044783 1 1
1006024 253140 1 1
1006024 1390046 1 1
1006024 156194 1 1
1006024 245518 1 1
1553619 1188956 1 1
168265 236992 1 1
1100752 1465033 1 1
1100752 24493 1 1
1028748 205652 1 1
1028748 324044 1 1
1028748 245944 1 1
1028748 12198 1 1
1085999 1006024 1 1
1085999 1044783 1 1
1085999 1037560 1 1
1085999 253140 1 1
1085999 1390046 1 1
1085999 156194 1 1
1085999 245518 1 1
270849 1447476 1 1
270849 1288655 1 1
270849 1066049 1 1
1104459 647997 1 1
1104459 161173 1 1
1104459 1489652 1 1
1104459 1086944 1 1
1366223 1468295 1 1
1035287 1141525 1 1
157678 325091 1 1
1468977 1092964 1 1
1468977 1231398 1 1
1468977 147350 1 1
1151784 1083658 1 1
1151784 1130865 1 1
1151784 1536103 1 1
1182609 122815 1 1
1182609 1513728 1 1
1182609 1234530 1 1
18929 200714 1 1
202363 1429430 1 1
202363 1364664 1 1
202363 1114028 1 1
202363 1511640 1 1
202363 138621 1 1
1310458 1103221 1 1
1310458 1167846 1 1
1364364 304005 1 1
1364364 1450641 1 1
1364364 238568 1 1
1364364 1343169 1 1
1364364 302261 1 1
1364364 299393 1 1
1188633 1400269 1 1
1188633 16684 1 1
1188633 245280 1 1
1188633 1077505 1 1
1188633 590461 1 1
178925 155893 1 1
1139241 1297111 1 1
1139241 104996 1 1
1275507 1363799 1 1
1275507 1373743 1 1
1275507 121595 1 1
1275507 1542709 1 1
1275507 1395741 1 1
1275507 1256851 1 1
1275507 1428491 1 1
1275507 1400377 1 1
1275507 1262773 1 1
596098021028573 2955038712027250 1 1
596098021028573 596098021028866 1 1
596098021028573 2955038711029383 1 1
596098021028573 596098021024186 1 1
1470488 1273424 1 1
1470488 106539 1 1
1470488 1073351 1 1
1017958 1246034 1 1
1400892 1061625 1 1
1400892 1194863 1 1
1400892 300403 1 1
1373458 1412004 1 1
1373458 223273 1 1
1373458 1482224 1 1
313090 188501 1 1
313090 1583815 1 1
1512109 230047 1 1
1512109 1061240 1 1
1326651 1258050 1 1
468948 5786821412028126 1 1
468948 288499 1 1
468948 192665 1 1
1315755 34316 1 1
1315755 1007558 1 1
1315755 1199246 1 1
1315755 1380078 1 1
1315755 1245443 1 1
1031903 1130471 1 1
1031903 127428 1 1
1031903 1489002 1 1
1516176 1082007 1 1
188501 313090 1 1
1148249 1488080 1 1
1148249 1456556 1 1
1148249 1121700 1 1
1148249 1417680 1 1
1148249 1090955 1 1
1515676 1192173 1 1
1515676 1531740 1 1
1515676 330276 1 1
1148084 1053682 1 1
1148084 165630 1 1
1148084 1086143 1 1
1148084 1006192 1 1
1148084 246285 1 1
1148084 1151888 1 1
1372644 1562586 1 1
1170753 1541594 1 1
1170753 1172574 1 1
1170753 1056758 1 1
1170753 1428359 1 1
1439289 1111525 1 1
1551491 1080280 1 1
1551491 172202 1 1
1551491 1111023 1 1
1551491 1400194 1 1
1531507 1435792 1 1
1531507 1593304 1 1
1531507 1471061 1 1
1023926 1230358 1 1
1023926 1220279 1 1
1078072 101661 1 1
1078072 152752 1 1
1078072 1118577 1 1
1078072 623109 1 1
2955038712025930 596098021026384 1 1
2955038712025930 2955038711026938 1 1
178107 1178357 1 1
178107 1121267 1 1
1584700 2955038711022086 1 1
1343484 1006221 1 1
1343484 1258435 1 1
1219557 1419334 1 1
1219557 19621 1 1
1267641 1424680 1 1
1267641 1299228 1 1
1267641 1502327 1 1
1026348 1162972 1 1
1026348 148351 1 1
2955038711026774 596098021028445 1 1
2955038711026774 596098021026887 1 1
2955038711026774 596098021028117 1 1
2955038711026774 2955038711026447 1 1
368665 1339081 1 1
368665 110068 1 1
1141525 1035287 1 1
1144774 1140878 1 1
1144774 1253585 1 1
1144774 1017679 1 1
1144774 166181 1 1
1144774 142681 1 1
1137577 5786821412026058 1 1
1137577 1429166 1 1
1441989 1057522 1 1
1441989 1500584 1 1
1441989 469770 1 1
1441989 155229 1 1
1441989 1432125 1 1
1193376 154093 1 1
1193376 1215521 1 1
1193376 1004927 1 1
1193376 150238 1 1
1281618 1520386 1 1
1281618 650580 1 1
1281618 1215566 1 1
1281618 1396058 1 1
1281618 1075573 1 1
1281618 1185117 1 1
180193 344409 1 1
180193 1356450 1 1
1421300 1419886 1 1
1256497 210153 1 1
1256497 1480553 1 1
1256497 1206825 1 1
1230497 1048983 1 1
1192173 1515676 1 1
1192173 1531740 1 1
1192173 330276 1 1
2449133521028538 1486882 1 1
2449133521028538 1052664 1 1
1044783 1006024 1 1
1044783 1085999 1 1
1044783 253140 1 1
1044783 1390046 1 1
1044783 156194 1 1
1044783 245518 1 1
1429166 5786821412026058 1 1
1429166 1137577 1 1
1429166 5786821412028126 1 1
1051219 1330275 1 1
1051219 2365 1 1
1214510 300403 1 1
378926 1291888 1 1
378926 1101326 1 1
1384271 1316207 1 1
1384271 1195793 1 1
1384271 1591353 1 1
1370125 1073872 1 1
1069757 1169617 1 1
1077825 1256899 1 1
1077825 1499141 1 1
596098021025462 2955038712027681 1 1
1559067 5786821411023687 1 1
1280002 1129486 1 1
1027989 206471 1 1
1571656 2955038712027075 1 1
1571656 1489562 1 1
1571656 171239 1 1
1194765 119888 1 1
1194765 1480891 1 1
1194765 309001 1 1
304005 1364364 1 1
304005 1450641 1 1
304005 238568 1 1
304005 1343169 1 1
304005 302261 1 1
304005 299393 1 1
1040688 688065 1 1
1040688 152466 1 1
1074932 5786821411027012 1 1
1074932 169642 1 1
1074932 1271324 1 1
1125733 431935 1 1
1428542 271642 1 1
1428542 1528261 1 1
1428542 240088 1 1
1029022 5786821412025651 1 1
1029022 1062783 1 1
1060719 1533386 1 1
1060719 457724 1 1
1060719 350811 1 1
1061625 1400892 1 1
1061625 1194863 1 1
1378256 412940 1 1
1169186 1102129 1 1
1169186 588062 1 1
1407195 1113650 1 1
