VertexFrom VertexTo TimeStart TimeStop
VehicleFlowEastToNorth0 VehicleFlowEastToWest_00 1 1
VehicleFlowEastToWest_00 VehicleFlowEastToNorth0 1 1
VehicleFlowEastToWest6 VehicleFlowEastToWest_07 2 2
VehicleFlowEastToWest6 VehicleFlowNorthToWest5 2 2
VehicleFlowEastToWest6 VehicleFlowSouthToWest6 2 2
VehicleFlowEastToWest6 VehicleFlowSouthToWest5 2 2
VehicleFlowEastToWest6 VehicleFlowSouthToWest4 2 2
VehicleFlowEastToWest6 VehicleFlowEastToWest7 2 2
VehicleFlowEastToWest6 VehicleFlowEastToWest_15 2 2
VehicleFlowEastToWest_08 VehicleFlowSouthToWest6 2 2
VehicleFlowEastToWest_08 VehicleFlowSouthToWest5 2 2
VehicleFlowEastToWest_08 VehicleFlowEastToWest8 2 2
VehicleFlowEastToWest_08 VehicleFlowEastToWest_16 2 2
VehicleFlowEastToWest_08 VehicleFlowEastToWest_09 2 2
VehicleFlowEastToWest_07 VehicleFlowEastToWest6 2 2
VehicleFlowEastToWest_07 VehicleFlowNorthToWest5 2 2
VehicleFlowEastToWest_07 VehicleFlowSouthToWest4 2 2
VehicleFlowEastToWest_07 VehicleFlowEastToWest7 2 2
VehicleFlowEastToWest_07 VehicleFlowEastToWest_15 2 2
VehicleFlowEastToWest9 VehicleFlowNorthToWest7 2 2
VehicleFlowEastToWest9 VehicleFlowNorthToWest6 2 2
VehicleFlowEastToWest9 VehicleFlowWestToEast45 2 2
VehicleFlowEastToWest9 VehicleFlowWestToEast44 2 2
VehicleFlowEastToWest9 VehicleFlowSouthToWest8 2 2
VehicleFlowEastToWest9 VehicleFlowSouthToWest7 2 2
VehicleFlowEastToWest9 VehicleFlowEastToWest_18 2 2
VehicleFlowEastToWest9 VehicleFlowEastToWest_17 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_033 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_032 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToNorth9 2 2
VehicleFlowNorthToWest9 VehicleFlowNorthToEast3 2 2
VehicleFlowNorthToWest9 VehicleFlowNorthToEast6 2 2
VehicleFlowNorthToWest9 VehicleFlowNorthToEast5 2 2
VehicleFlowNorthToWest9 VehicleFlowNorthToEast4 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast34 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast35 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast36 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast30 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast31 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast32 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast33 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToNorth4 2 2
VehicleFlowNorthToWest9 VehicleFlowSouthToEast7 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest_19 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast27 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast26 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast25 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast24 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast23 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast22 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast21 2 2
VehicleFlowNorthToWest9 VehicleFlowNorthToWest10 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast29 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast28 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToNorth11 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_028 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToNorth12 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_029 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest_110 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToNorth10 2 2
VehicleFlowNorthToWest9 BusFlowEastWest01 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_031 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_030 2 2
VehicleFlowNorthToWest9 VehicleFlowSouthToWest13 2 2
VehicleFlowNorthToWest9 VehicleFlowSouthToWest12 2 2
VehicleFlowNorthToWest9 VehicleFlowSouthToWest11 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToSouth4 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToNorth8 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest12 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest10 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest11 2 2
VehicleFlowNorthToWest9 VehicleFlowNorthToSouth6 2 2
VehicleFlowNorthToWest9 VehicleFlowNorthToSouth5 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToNorth7 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToNorth6 2 2
VehicleFlowNorthToWest9 VehicleFlowSouthToNorth6 2 2
VehicleFlowNorthToWest9 VehicleFlowSouthToNorth7 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_026 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_027 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_024 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_022 2 2
VehicleFlowNorthToWest9 VehicleFlowWestToEast_021 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest_013 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest_012 2 2
VehicleFlowNorthToWest9 VehicleFlowEastToWest_011 2 2
VehicleFlowNorthToWest8 VehicleFlowWestToEast41 2 2
VehicleFlowNorthToWest8 VehicleFlowWestToEast42 2 2
VehicleFlowNorthToWest8 VehicleFlowWestToNorth14 2 2
VehicleFlowNorthToWest8 VehicleFlowWestToSouth5 2 2
VehicleFlowEastToWest_114 VehicleFlowSouthToEast4 2 2
VehicleFlowEastToWest_114 VehicleFlowWestToEast8 2 2
VehicleFlowEastToWest_114 VehicleFlowWestToEast13 2 2
VehicleFlowEastToWest_114 VehicleFlowWestToEast9 2 2
VehicleFlowEastToWest_114 VehicleFlowWestToEast_013 2 2
VehicleFlowEastToWest_115 VehicleFlowWestToEast6 2 2
VehicleFlowEastToWest_115 VehicleFlowNorthToEast0 2 2
VehicleFlowEastToWest_115 VehicleFlowSouthToEast3 2 2
VehicleFlowEastToWest_115 VehicleFlowWestToEast_09 2 2
VehicleFlowNorthToWest5 VehicleFlowEastToWest6 2 2
VehicleFlowNorthToWest5 VehicleFlowEastToWest_07 2 2
VehicleFlowNorthToWest5 VehicleFlowSouthToWest6 2 2
VehicleFlowNorthToWest5 VehicleFlowSouthToWest5 2 2
VehicleFlowNorthToWest5 VehicleFlowSouthToWest4 2 2
VehicleFlowNorthToWest5 VehicleFlowEastToWest7 2 2
VehicleFlowNorthToWest5 VehicleFlowEastToWest8 2 2
VehicleFlowNorthToWest5 VehicleFlowEastToWest_16 2 2
VehicleFlowNorthToWest5 VehicleFlowEastToWest_15 2 2
VehicleFlowEastToWest_111 BusFlowWestEast01 2 2
VehicleFlowEastToWest_111 VehicleFlowNorthToEast3 2 2
VehicleFlowEastToWest_111 VehicleFlowNorthToEast5 2 2
VehicleFlowEastToWest_111 VehicleFlowNorthToEast4 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToNorth5 2 2
VehicleFlowEastToWest_111 VehicleFlowSouthToEast7 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToWest_19 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToEast23 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToEast22 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToEast21 2 2
VehicleFlowEastToWest_111 VehicleFlowNorthToWest10 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToWest_110 2 2
VehicleFlowEastToWest_111 BusFlowEastWest01 2 2
VehicleFlowEastToWest_111 VehicleFlowSouthToWest13 2 2
VehicleFlowEastToWest_111 VehicleFlowSouthToWest12 2 2
VehicleFlowEastToWest_111 VehicleFlowSouthToWest11 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToNorth8 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToWest12 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToWest13 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToWest11 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToNorth7 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToNorth6 2 2
VehicleFlowEastToWest_111 VehicleFlowSouthToNorth6 2 2
VehicleFlowEastToWest_111 VehicleFlowSouthToNorth7 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToEast_026 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToEast_022 2 2
VehicleFlowEastToWest_111 VehicleFlowWestToEast_021 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToWest_013 2 2
VehicleFlowEastToWest_111 VehicleFlowEastToWest_012 2 2
VehicleFlowNorthToWest7 VehicleFlowEastToWest9 2 2
VehicleFlowNorthToWest7 VehicleFlowNorthToWest6 2 2
VehicleFlowNorthToWest7 VehicleFlowWestToEast45 2 2
VehicleFlowNorthToWest7 VehicleFlowSouthToWest8 2 2
VehicleFlowNorthToWest7 VehicleFlowSouthToWest7 2 2
VehicleFlowNorthToWest6 VehicleFlowEastToWest9 2 2
VehicleFlowNorthToWest6 VehicleFlowNorthToWest7 2 2
VehicleFlowNorthToWest6 VehicleFlowWestToEast45 2 2
VehicleFlowNorthToWest6 VehicleFlowSouthToWest8 2 2
VehicleFlowNorthToWest6 VehicleFlowSouthToWest7 2 2
VehicleFlowWestToEast41 VehicleFlowNorthToWest8 2 2
VehicleFlowWestToEast41 VehicleFlowWestToEast42 2 2
VehicleFlowWestToEast41 VehicleFlowWestToSouth5 2 2
VehicleFlowWestToEast40 VehicleFlowWestToEast39 2 2
VehicleFlowWestToEast40 VehicleFlowWestToNorth13 2 2
VehicleFlowWestToEast43 VehicleFlowWestToEast42 2 2
VehicleFlowWestToEast43 VehicleFlowWestToEast44 2 2
VehicleFlowWestToEast43 VehicleFlowSouthToWest9 2 2
VehicleFlowWestToEast43 VehicleFlowEastToWest_18 2 2
VehicleFlowWestToEast43 VehicleFlowEastToWest_17 2 2
VehicleFlowWestToEast43 VehicleFlowWestToNorth14 2 2
VehicleFlowWestToEast43 VehicleFlowSouthToWest10 2 2
VehicleFlowWestToEast43 VehicleFlowEastToWest_010 2 2
VehicleFlowWestToEast42 VehicleFlowNorthToWest8 2 2
VehicleFlowWestToEast42 VehicleFlowWestToEast41 2 2
VehicleFlowWestToEast42 VehicleFlowWestToEast43 2 2
VehicleFlowWestToEast42 VehicleFlowWestToNorth14 2 2
VehicleFlowWestToEast42 VehicleFlowWestToSouth5 2 2
VehicleFlowWestToEast45 VehicleFlowEastToWest9 2 2
VehicleFlowWestToEast45 VehicleFlowNorthToWest7 2 2
VehicleFlowWestToEast45 VehicleFlowNorthToWest6 2 2
VehicleFlowWestToEast45 VehicleFlowWestToEast44 2 2
VehicleFlowWestToEast45 VehicleFlowSouthToWest8 2 2
VehicleFlowWestToEast45 VehicleFlowSouthToWest7 2 2
VehicleFlowWestToEast45 VehicleFlowEastToWest_18 2 2
VehicleFlowWestToEast45 VehicleFlowEastToWest_17 2 2
VehicleFlowWestToEast44 VehicleFlowEastToWest9 2 2
VehicleFlowWestToEast44 VehicleFlowWestToEast43 2 2
VehicleFlowWestToEast44 VehicleFlowWestToEast45 2 2
VehicleFlowWestToEast44 VehicleFlowSouthToWest9 2 2
VehicleFlowWestToEast44 VehicleFlowSouthToWest8 2 2
